tweet,label,clean_text,label_encoded
Me mada watu wakishaanza kuhusisha dini tu waga najitoa NBio kwamba sina imani ila huwa najiepusha na majibizano kuhusu dini,neutral,me mada watu wakishaanza kuhusisha dini tu waga najitoa nbio kwamba sina imani ila huwa najiepusha na majibizano kuhusu dini,1
Bodi ya Wakurugenzi ya Shirika la Reli Tanzania  TRC ikiongozwa na Mwenyekiti Prof John Kondoro yatembelea kambi za Ujenzi w,positive,bodi ya wakurugenzi ya shirika la reli tanzania trc ikiongozwa na mwenyekiti prof john kondoro yatembelea kambi za ujenzi w,2
Zoezi la kutambulishana likiwa linaendelea,neutral,zoezi la kutambulishana likiwa linaendelea,1
Hatimaye machapisho yangu ya kielektroniki sasa yataweza kupatikana kwa mobile money mpesa Airtel money TigoPesa katika,positive,hatimaye machapisho yangu ya kielektroniki sasa yataweza kupatikana kwa mobile money mpesa airtel money tigopesa katika,2
Kama upo sogea eneo walipo wajasiriamali wa upate bidhaa na huduma bora kutoka kwa vija,neutral,kama upo sogea eneo walipo wajasiriamali wa upate bidhaa na huduma bora kutoka kwa vija,1
Marko 834 Yesu akasema Mtu ye yote akitaka kunifuata ni lazima ajikane mwenyewe auchukue msalaba wake anifuate AJ,positive,marko yesu akasema mtu ye yote akitaka kunifuata ni lazima ajikane mwenyewe auchukue msalaba wake anifuate aj,2
Jeshi la Polisi laadhimisha Siku 16 ya kupinga ukatili wa kijinsia na watoto katika Wilaya ya Mkuranga mkoa wa Kipolisi Rufiji PichaTanpol,positive,jeshi la polisi laadhimisha siku ya kupinga ukatili wa kijinsia na watoto katika wilaya ya mkuranga mkoa wa kipolisi rufiji pichatanpol,2
Pole sana kwa Familia IPP Media and watanzania wote walioguswa na msiba huu mkubwa Mungu akawe faraja kwenu RIP Reginald Mengi,negative,pole sana kwa familia ipp media and watanzania wote walioguswa na msiba huu mkubwa mungu akawe faraja kwenu rip reginald mengi,0
MubasharaLIVE kutoka kwenye Kongamano la TEHAMA katika ukumbi wa kimataifa wa JK Nyerere Dar es Salaam Tembelea ukurasa wa,neutral,mubasharalive kutoka kwenye kongamano la tehama katika ukumbi wa kimataifa wa jk nyerere dar es salaam tembelea ukurasa wa,1
Leo katika kipindi cha tuna angazia  Baadhi ya wananchi wanao pokea na kuwahifadhi,neutral,leo katika kipindi cha tuna angazia baadhi ya wananchi wanao pokea na kuwahifadhi,1
Tafadhali tuandikie namba yako ya kadi kwa msaada zaidiSalim,neutral,tafadhali tuandikie namba yako ya kadi kwa msaada zaidisalim,1
Mpaka kufika kesho saa mbili asubuhi tunatakiwa kuwa tumechanga milioni 350,neutral,mpaka kufika kesho saa mbili asubuhi tunatakiwa kuwa tumechanga milioni,1
Mambo ni kama hivi leo katika kilele cha maadhimisho ya,neutral,mambo ni kama hivi leo katika kilele cha maadhimisho ya,1
Sikumbuki vizuri ila nilikuwa na F zote D mahala na C ya English Ila maisha yaliponitandika nikiwa mama wa watoto wawi,neutral,sikumbuki vizuri ila nilikuwa na f zote d mahala na c ya english ila maisha yaliponitandika nikiwa mama wa watoto wawi,1
represent 1044 mpunguzi Dodoma ya izidi kupanda kwenye top20,neutral,represent mpunguzi dodoma ya izidi kupanda kwenye top,1
Ana anajifanya mzalendo mpigania nchi kumbe yupo dm anaomba utelezi Kweli Twitter people never don what they preach,negative,ana anajifanya mzalendo mpigania nchi kumbe yupo dm anaomba utelezi kweli twitter people never don what they preach,0
Zoezi la Usajili na utoaji wa Vitambulisho halijasimamishwa ni zoezi endelevu karibu kwenye Ofisi zetu za usajili Wilaya unayoishi tuweze kukuhudumia,positive,zoezi la usajili na utoaji wa vitambulisho halijasimamishwa ni zoezi endelevu karibu kwenye ofisi zetu za usajili wilaya unayoishi tuweze kukuhudumia,2
Baya lisilonidhuru ni jema lisilo na faida,neutral,baya lisilonidhuru ni jema lisilo na faida,1
Habari Ochu Samahani kwa makosa ya kimaandishi yaliyotokea Tumefanyia marekebisho tayari na utaweza kuona kwa usahihi Asante SS,neutral,habari ochu samahani kwa makosa ya kimaandishi yaliyotokea tumefanyia marekebisho tayari na utaweza kuona kwa usahihi asante ss,1
Tuko kwenye hatari ya kupata ebola kutokana na muingiliano mkubwa uliopo kati ya nchi ya Congo na nchi yetu ya Tanzan,negative,tuko kwenye hatari ya kupata ebola kutokana na muingiliano mkubwa uliopo kati ya nchi ya congo na nchi yetu ya tanzan,0
NALE ni dawa ya mimea inayotibu changamoto ya vidonda vya tumbo kwa kuponyesha michubuko kwenye kuta za tumbo na kuua bacteria wanaochagiza tatizo la vidonda vya tumbo Dawa haina madhara kwa mtumiaji Kwa Msaada zaidi Piga 0654 982 582 au WhatsApp link,neutral,nale ni dawa ya mimea inayotibu changamoto ya vidonda vya tumbo kwa kuponyesha michubuko kwenye kuta za tumbo na kuua bacteria wanaochagiza tatizo la vidonda vya tumbo dawa haina madhara kwa mtumiaji kwa msaada zaidi piga au whatsapp link,1
Nitaongoza idara ya Habari ya CHADEMA MKOA wa MARA kama AFISA wa HABARI VIKAO vya tarehe 19022020 vya baraza la uongozi n,neutral,nitaongoza idara ya habari ya chadema mkoa wa mara kama afisa wa habari vikao vya tarehe vya baraza la uongozi n,1
Kama tukiweza kuwekeza kwa mtoto wa kike Mfano kama tutapambana na ndoa za utotoni basi kwa miaka 15 tunaweza kuingiz,neutral,kama tukiweza kuwekeza kwa mtoto wa kike mfano kama tutapambana na ndoa za utotoni basi kwa miaka tunaweza kuingiz,1
Kipindi nimemaliza elimu yangu ya shule ya msingi sikuweza kupata matokeo mazuri yakunifanya niende kidato cha kwanza H,negative,kipindi nimemaliza elimu yangu ya shule ya msingi sikuweza kupata matokeo mazuri yakunifanya niende kidato cha kwanza h,0
Busara na hekima inatakiwa kutumika,positive,busara na hekima inatakiwa kutumika,2
RCD Espanyol de Barcelona au Wolverhampton Wanderers FC watachezea nyavu Magoli mangapi leo otea Bet SASA ushinde,neutral,rcd espanyol de barcelona au wolverhampton wanderers fc watachezea nyavu magoli mangapi leo otea bet sasa ushinde,1
TAARIFA MUHIMU KWA WATANZANIA,neutral,taarifa muhimu kwa watanzania,1
John Mrema Tumekuwa na mafunzo kwa wanawakekila mwaka wana graduate wanawake 120 kwenye masuala ya uongozi Mwenyekiti wa B,positive,john mrema tumekuwa na mafunzo kwa wanawakekila mwaka wana graduate wanawake kwenye masuala ya uongozi mwenyekiti wa b,2
Retweet tweet hii Kama unampenda baba wa Taifa Na unataka kuwajuza wenzio kua inakupa 10GB kwa Shilingi 1000,neutral,retweet tweet hii kama unampenda baba wa taifa na unataka kuwajuza wenzio kua inakupa gb kwa shilingi,1
Vyakula vya watu wabahili au wasio na hela,neutral,vyakula vya watu wabahili au wasio na hela,1
Mke mmoja wawili au kumi Na kaianzisha sababu anataka kuoa wake wengi wengi,neutral,mke mmoja wawili au kumi na kaianzisha sababu anataka kuoa wake wengi wengi,1
Tunachukulia vitu kwa wepesi sana imagine hawa makomando watoke halafu waamue kulipa kisasini kumuomba Mungu tu yaishe salama,negative,tunachukulia vitu kwa wepesi sana imagine hawa makomando watoke halafu waamue kulipa kisasini kumuomba mungu tu yaishe salama,0
Habari hatuna tabia hiyo Endelea kufurahia huduma zetuJ,neutral,habari hatuna tabia hiyo endelea kufurahia huduma zetuj,1
Bibi wa ovyo anampata mume mzuri,neutral,bibi wa ovyo anampata mume mzuri,1
karibuni kupata kitabu changu kipya Kipo TPH Samora Avenue 15000 tu Kiliandikwa kwa ajili ya vijana lakini kina,positive,karibuni kupata kitabu changu kipya kipo tph samora avenue tu kiliandikwa kwa ajili ya vijana lakini kina,2
Vijana kutoka DTBTanzania tawi la Mwanza wakikabidhi mifuko ya Saruji kwa Mhe Stanslaus Mabula Mbunge wa Nyamagana Mwanza jana Huu ulikuwa ni machango wa benki yetu katika kukabiliana na changamoto ya upungufu wa madarasa katika shule za msingi zilizopo mjini Mwanza,positive,vijana kutoka dtbtanzania tawi la mwanza wakikabidhi mifuko ya saruji kwa mhe stanslaus mabula mbunge wa nyamagana mwanza jana huu ulikuwa ni machango wa benki yetu katika kukabiliana na changamoto ya upungufu wa madarasa katika shule za msingi zilizopo mjini mwanza,2
Kasi Ya Watu kufanya Mazoezi Ni Kubwa Mno Sasa 125000 Badala Ya 150000 Whatssap,positive,kasi ya watu kufanya mazoezi ni kubwa mno sasa badala ya whatssap,2
Serikali haina nia ya kunyanganya ardhi ya wananchiMhe Mabula,negative,serikali haina nia ya kunyanganya ardhi ya wananchimhe mabula,0
Uzuri wa mnajikusanya au kujichagua wana kadhaa mnapiga zenu road trip mda wowote ule mnaamsha unasubiri nini sasa,neutral,uzuri wa mnajikusanya au kujichagua wana kadhaa mnapiga zenu road trip mda wowote ule mnaamsha unasubiri nini sasa,1
Pata huduma mbalimbali za kibenki kwa gharama nafuu kabisa kupitia Equity Bank Tembelea tawi letu lolote lililopo karibu,neutral,pata huduma mbalimbali za kibenki kwa gharama nafuu kabisa kupitia equity bank tembelea tawi letu lolote lililopo karibu,1
habari tunashukuru kwa kuwasiliana nasi Endelea kufurahia huduma supa kutoka Vodacom DM,positive,habari tunashukuru kwa kuwasiliana nasi endelea kufurahia huduma supa kutoka vodacom dm,2
Hivi majaliwa anajua maana ya 12mil  Yaani hizi hesabu zao huwa wanazipiga vipi  Ajira mil 12 wakati wali,neutral,hivi majaliwa anajua maana ya mil yaani hizi hesabu zao huwa wanazipiga vipi ajira mil wakati wali,1
Unaweza kufanya malipo yako mbalimbali kwa kutumia Visa Card kutoka KCB kwa bei ileile,positive,unaweza kufanya malipo yako mbalimbali kwa kutumia visa card kutoka kcb kwa bei ileile,2
Leo ni siku yako ya kuzaliwa ya kwanza tangu ututoke Leo ni siku ya kuzaliwa kwako bila uwepo wako shujaa wetumpatanish,negative,leo ni siku yako ya kuzaliwa ya kwanza tangu ututoke leo ni siku ya kuzaliwa kwako bila uwepo wako shujaa wetumpatanish,0
Kutuma picha za faragha mitandaoni inaweza kuwa jambo la kufurahisha hadi pale siku utakapogundua kuwa maisha yako ya b,negative,kutuma picha za faragha mitandaoni inaweza kuwa jambo la kufurahisha hadi pale siku utakapogundua kuwa maisha yako ya b,0
Laki moja bank inaeza isha ndani ya siku moja fresh kabisa Kiufupi hata wiki haitoboi Followers laki moja wanaweza ku,neutral,laki moja bank inaeza isha ndani ya siku moja fresh kabisa kiufupi hata wiki haitoboi followers laki moja wanaweza ku,1
Pole sana kwa changamoto hiyohatuna lengo la kuwaibiatunaiboresha huduma ya kuangalia saliotunaomba utupatie namba tafadhali tukuangalizie,positive,pole sana kwa changamoto hiyohatuna lengo la kuwaibiatunaiboresha huduma ya kuangalia saliotunaomba utupatie namba tafadhali tukuangalizie,2
Tunawakosea sana watototena hao baby skuli wanatakiwa wasome shule za jirani yani dada ndo anampeleka kwa mguu tu,negative,tunawakosea sana watototena hao baby skuli wanatakiwa wasome shule za jirani yani dada ndo anampeleka kwa mguu tu,0
Mjublo kashaibuka Cousin 420 ni mwendo 2000 tu Watagg washikaji tukutane Cousin Leo,neutral,mjublo kashaibuka cousin ni mwendo tu watagg washikaji tukutane cousin leo,1
Maziwa Bora kabisa ya ngombe Maziwa Fresh mazuri mazito yana cream yake ya kutosha Lita 3  9000tzs Lita 5  120,positive,maziwa bora kabisa ya ngombe maziwa fresh mazuri mazito yana cream yake ya kutosha lita tzs lita,2
Habari tafadhali piga 14700 au 14800 chagua saizi siku wiki au mwezi kupata vifurushi vyetu vilivyoboreshwa zaidi,neutral,habari tafadhali piga au chagua saizi siku wiki au mwezi kupata vifurushi vyetu vilivyoboreshwa zaidi,1
Tafadhali piga 14700 au 14800 chagua siku wiki au mwezi kisha chagua namba 2internet kupata vifurushi vyetu vilivyoboreshwa zaidi,neutral,tafadhali piga au chagua siku wiki au mwezi kisha chagua namba internet kupata vifurushi vyetu vilivyoboreshwa zaidi,1
Ni muhimu kufahamu kwamba mitandao ya kijamii si kila kitu Tusijikute tunaumizwa na attacks mbalimbali Kila mtu ana,positive,ni muhimu kufahamu kwamba mitandao ya kijamii si kila kitu tusijikute tunaumizwa na attacks mbalimbali kila mtu ana,2
Unakumbuka hizi Sheria zetu za mpira utotoni 1Mwenye mpira Lazima acheze ata kama hajui mpira 2Dogo mnene Lazima awe golikipa 3Mwenye mpira ataamua nan acheze na nan asicheze 4kama haujashiriki kufuma mpira unaweza ucpate namba,neutral,unakumbuka hizi sheria zetu za mpira utotoni mwenye mpira lazima acheze ata kama hajui mpira dogo mnene lazima awe golikipa mwenye mpira ataamua nan acheze na nan asicheze kama haujashiriki kufuma mpira unaweza ucpate namba,1
Vijana tuwe na heshima tunapoona mtu kampost mkemume au hata mtoto wake swala la hana tako miguu membamba au kibonge s,negative,vijana tuwe na heshima tunapoona mtu kampost mkemume au hata mtoto wake swala la hana tako miguu membamba au kibonge s,0
Kama una rafiki ako na unajua ni muathirika na anatumia ARV usisite kuwa una mkumbusha kunywa dawa,neutral,kama una rafiki ako na unajua ni muathirika na anatumia arv usisite kuwa una mkumbusha kunywa dawa,1
Pole sana kwa changamoto uliyopata tunaomba mrejesho unaopata na namba yako ya nmb mobile inbox tafadhaliYN,positive,pole sana kwa changamoto uliyopata tunaomba mrejesho unaopata na namba yako ya nmb mobile inbox tafadhaliyn,2
Habari Quban Kwa sasa hatuna tawi mkoani Dodoma ila huduma zetu zitafika huko hivi karibuni,negative,habari quban kwa sasa hatuna tawi mkoani dodoma ila huduma zetu zitafika huko hivi karibuni,0
Hivi kupima VVU si bure Wapendwatuwe na desturi ya kupima kila baada ya miezi mitatu kujua afya zetu na kama ukikutwa,neutral,hivi kupima vvu si bure wapendwatuwe na desturi ya kupima kila baada ya miezi mitatu kujua afya zetu na kama ukikutwa,1
Kile tulichokuwa tunakisubiri sasa kimewadia kaa tayari leo saa 6 Mchana kwenye channel 103 SinemaZetu tutakuwa na mkuta,neutral,kile tulichokuwa tunakisubiri sasa kimewadia kaa tayari leo saa mchana kwenye channel sinemazetu tutakuwa na mkuta,1
Waziri Mkuu wa Jamhuri ya muungano wa Tanzania Kassim Majaliwa Kassim jana Disemba 11 2018 alimpokea na kumkaribisha Waziri Mkuu wa Misri Dkt Mostafa Madbouly ambaye aliwasili kwenye Uwanja wa Ndege wa,neutral,waziri mkuu wa jamhuri ya muungano wa tanzania kassim majaliwa kassim jana disemba alimpokea na kumkaribisha waziri mkuu wa misri dkt mostafa madbouly ambaye aliwasili kwenye uwanja wa ndege wa,1
Sema tuwe serious na branding za wachezaji wetuifike point wajue wao ni bidhaa ukiachana na kucheza mpira tu,positive,sema tuwe serious na branding za wachezaji wetuifike point wajue wao ni bidhaa ukiachana na kucheza mpira tu,2
Leo tumekabidhi nyumba za watumishi wa afya 60 zilizojengwa katika wilaya 6 mkoani Lindi,positive,leo tumekabidhi nyumba za watumishi wa afya zilizojengwa katika wilaya mkoani lindi,2
Network yenyewe ya Airtel Kila jambo kwa wakati wake na wakati wa Mungu ndio wakati sahihi,positive,network yenyewe ya airtel kila jambo kwa wakati wake na wakati wa mungu ndio wakati sahihi,2
Black taafadhali tunaomba namba yako ya simu na tarehe husika kwa ajili ya taarifa zaidi,positive,black taafadhali tunaomba namba yako ya simu na tarehe husika kwa ajili ya taarifa zaidi,2
Napenda nichukue Fursa kumshukuru Mungu na kukushukuru wewe pia kwa kuweza Kupata Nafasi ya Kupromote kitabu Uzinduzi Ulikuwa Mzuri wa Kitabu katika CHUO KIKUU CHA WAISLAM MOROGORO Naomba tuwasiliane kwa namba Whats App no 0624613046 i,positive,napenda nichukue fursa kumshukuru mungu na kukushukuru wewe pia kwa kuweza kupata nafasi ya kupromote kitabu uzinduzi ulikuwa mzuri wa kitabu katika chuo kikuu cha waislam morogoro naomba tuwasiliane kwa namba whats app no i,2
Pole sana tunaomba kufahamu sehemu ya tatizo lako tafadhaliFB,neutral,pole sana tunaomba kufahamu sehemu ya tatizo lako tafadhalifb,1
Kaka wewe ni mpinzani wa mfano hauko kwenye kundi hilo Na unajipambanua kwenye mambo yako Sisi,neutral,kaka wewe ni mpinzani wa mfano hauko kwenye kundi hilo na unajipambanua kwenye mambo yako sisi,1
Tuambie ulipo tuweze kufuatilia uweze kupata huduma ya vocha,neutral,tuambie ulipo tuweze kufuatilia uweze kupata huduma ya vocha,1
Puuza uzushi kwamba chanjo italeta madhara baada miaka kadhaa sikiliza majibu ya wataalam wa afya ili tumshinde huyu adui,positive,puuza uzushi kwamba chanjo italeta madhara baada miaka kadhaa sikiliza majibu ya wataalam wa afya ili tumshinde huyu adui,2
Habari Alhaji Lomayani tunaomba namba zenye shida DM kwa msaada zaidi,neutral,habari alhaji lomayani tunaomba namba zenye shida dm kwa msaada zaidi,1
Sina uhakika sana soko la mziki nalo lina fitna zake vizuri tuu WCB naweza kusema wana loyal fans,positive,sina uhakika sana soko la mziki nalo lina fitna zake vizuri tuu wcb naweza kusema wana loyal fans,2
Innovate Innovate Innovate In Tanzania We need more and more,positive,innovate innovate innovate in tanzania we need more and more,2
Siku uwe na pesa Na hauna furaha je unweza kutumia hio pesa kununua furaha yako Mfano kupitia pesa unaeeza kununua uhai wa mtu,neutral,siku uwe na pesa na hauna furaha je unweza kutumia hio pesa kununua furaha yako mfano kupitia pesa unaeeza kununua uhai wa mtu,1
Kama maisha yangekuwa kama Tamthilia asee NIngekuwa mbali maana watu wanatoboa mapema sijui michongo wanaitoa wapi,neutral,kama maisha yangekuwa kama tamthilia asee ningekuwa mbali maana watu wanatoboa mapema sijui michongo wanaitoa wapi,1
Kwasisi Vijana Tunao Anza Maisha Tuanze na Kipi 1Tununue Gari Nzuri Afu Tupange 2Tupange Huku tunajenga,neutral,kwasisi vijana tunao anza maisha tuanze na kipi tununue gari nzuri afu tupange tupange huku tunajenga,1
pamoja sana endelea kutumia huduma zetu kwani bado tunaendelea kuboresha zaidi ili kuweza kuwapatia huduma bora zaidi tigo live itlove it,positive,pamoja sana endelea kutumia huduma zetu kwani bado tunaendelea kuboresha zaidi ili kuweza kuwapatia huduma bora zaidi tigo live itlove it,2
Asante sana kwa kushea na kutembelea kurasa zetu,positive,asante sana kwa kushea na kutembelea kurasa zetu,2
We hope to see you next time Ila tutaongeza ulinzi mkali usiondoke na simu  Asante kwa kutuunga mkono,neutral,we hope to see you next time ila tutaongeza ulinzi mkali usiondoke na simu asante kwa kutuunga mkono,1
Serikali ya Tanzania ilipiga hatua kubwa kwa kutangaza kutoa kodi katika taulo za kike Swali niJe wasambazaji wamepu,neutral,serikali ya tanzania ilipiga hatua kubwa kwa kutangaza kutoa kodi katika taulo za kike swali nije wasambazaji wamepu,1
Hongera vijana wanaojitolea Odette Kwizera kutoka Burundi ni mfanyakazi wa kujitolea wa nchini  kwenye redio ya jamii ya  Soma simulizi yake,positive,hongera vijana wanaojitolea odette kwizera kutoka burundi ni mfanyakazi wa kujitolea wa nchini kwenye redio ya jamii ya soma simulizi yake,2
Ofisi ya jiji la Dodoma kwa kushirikiana na Mamlaka ya Viwanja vya Ndege Tanzania TAA yafanya mkutano na wananchi,neutral,ofisi ya jiji la dodoma kwa kushirikiana na mamlaka ya viwanja vya ndege tanzania taa yafanya mkutano na wananchi,1
Leo tumeweka historia tutajenga km 300 kwa pesa yetu DarMoro 160kph Moro saa 1 tu CCM Mpya Tanzania Mpya,positive,leo tumeweka historia tutajenga km kwa pesa yetu darmoro kph moro saa tu ccm mpya tanzania mpya,2
Wakuu naomba support mwa Mtanzania mwenzetu aondoke na ushindi Link Chagua FLORINYAHTanzani,neutral,wakuu naomba support mwa mtanzania mwenzetu aondoke na ushindi link chagua florinyahtanzani,1
onet online shopping store tafadhali tembelea kwenye ofisi au duka letu Karibu ujiwahie ya kwako,positive,onet online shopping store tafadhali tembelea kwenye ofisi au duka letu karibu ujiwahie ya kwako,2
Asante sana na kwa wimbo mzuri wa kumuimbia Mama yangu Paskalina na akina Mama wote,positive,asante sana na kwa wimbo mzuri wa kumuimbia mama yangu paskalina na akina mama wote,2
Habari yako Habby Issahujanja ni kujiachia na mtandao bora kutoka tigoshukrani sana na endelea kufurahia huduma zetu,positive,habari yako habby issahujanja ni kujiachia na mtandao bora kutoka tigoshukrani sana na endelea kufurahia huduma zetu,2
Mnunulie umpendaye jinunulie kama wajipenda abaya za kwenda unaambiwa designs ni kama zote cheki insta huku ujibambe http,neutral,mnunulie umpendaye jinunulie kama wajipenda abaya za kwenda unaambiwa designs ni kama zote cheki insta huku ujibambe http,1
Kusema ukweli japo huo ukweli unauma sana na ni ngumu ku acceptila kama imeshindikana kabisa yani hakuna namna,neutral,kusema ukweli japo huo ukweli unauma sana na ni ngumu ku acceptila kama imeshindikana kabisa yani hakuna namna,1
Msaada twitani Naomba mwenye namba ya Simu ya Mwenge ZahanatiHata ya Dr yoyote Natanguliza shukrani,neutral,msaada twitani naomba mwenye namba ya simu ya mwenge zahanatihata ya dr yoyote natanguliza shukrani,1
Simba SC 4  5 Sevilla FC FT tzsportpesa laliga,positive,simba sc sevilla fc ft tzsportpesa laliga,2
Semina kuhusu ugonjwa wa Ebola Soma zaidi gtgt,neutral,semina kuhusu ugonjwa wa ebola soma zaidi gtgt,1
Kama elimu ikimsaidia ila akiitumia vibaya ndo ile ya umeuza ngombe kuisomesha ngombe ikampe mtu mimba ipigwe faini ya ngombe,neutral,kama elimu ikimsaidia ila akiitumia vibaya ndo ile ya umeuza ngombe kuisomesha ngombe ikampe mtu mimba ipigwe faini ya ngombe,1
Tusiruhusu Bidhaa feki toka nje kuingizwa sokoni kwani zinaweza kuua viwanda vyetu,positive,tusiruhusu bidhaa feki toka nje kuingizwa sokoni kwani zinaweza kuua viwanda vyetu,2
yana ukomo mwaka 2030 Hivyo ni miaka 10 tu imebaki Lazima tuongeze juhudi zetu Sasa anasema,neutral,yana ukomo mwaka hivyo ni miaka tu imebaki lazima tuongeze juhudi zetu sasa anasema,1
Wakazi wa kijiji cha Nkungwe wilaya ya Kigoma Mkoani Kigoma wameipongeza serikali kuanza kutatua changamoto ya ujenzi wa daraja la watembea kwa miguu katika mto Luiche Soma zaidi gtgt,neutral,wakazi wa kijiji cha nkungwe wilaya ya kigoma mkoani kigoma wameipongeza serikali kuanza kutatua changamoto ya ujenzi wa daraja la watembea kwa miguu katika mto luiche soma zaidi gtgt,1
Waziri wa Afya Maendeleo ya Jamii Jinsia Wazee na Watoto amesema Serikali haina nia ya kuyabana Mashirik,neutral,waziri wa afya maendeleo ya jamii jinsia wazee na watoto amesema serikali haina nia ya kuyabana mashirik,1
Kesho nitakuja na uzi wa Je Wajua za tofauti kidogo Lau unipatie wasaa wako kesho nikusogezee darasa kiganjani kwako,positive,kesho nitakuja na uzi wa je wajua za tofauti kidogo lau unipatie wasaa wako kesho nikusogezee darasa kiganjani kwako,2
Massele Ndugai wavurugana,negative,massele ndugai wavurugana,0
mpaka sasa najua una nyimbo moja kali ya siasa kichwani hebu iweke kwenye pepa then studio huu ni muda mw,positive,mpaka sasa najua una nyimbo moja kali ya siasa kichwani hebu iweke kwenye pepa then studio huu ni muda mw,2
Huku kumenogausipitwe na fursa hii Kwako Mfanyabiashara njoo uuze hukuNa Sisi Wengine sasa kuna buru,neutral,huku kumenogausipitwe na fursa hii kwako mfanyabiashara njoo uuze hukuna sisi wengine sasa kuna buru,1
Matokeo ya Masters mzumbe yametoka kwenye Aris mtu amepata C kaandikiwa Pass lakini anatakiwa afanye supplementary Sasa maana ya Pass ni ninimnaojua vizuri nisaidieni plzz,neutral,matokeo ya masters mzumbe yametoka kwenye aris mtu amepata c kaandikiwa pass lakini anatakiwa afanye supplementary sasa maana ya pass ni ninimnaojua vizuri nisaidieni plzz,1
Mmetengewa kiasi cha Fedha kwa ajili ya Ujenzi mkubwa wa mradi wa maji ambao utarahisisha na kuwasaidia  Waziri Mkuu wa Jamhuri ya Muungano wa Tanzania,positive,mmetengewa kiasi cha fedha kwa ajili ya ujenzi mkubwa wa mradi wa maji ambao utarahisisha na kuwasaidia waziri mkuu wa jamhuri ya muungano wa tanzania,2
Huyu mtoto asaidiwe atendewe hak,neutral,huyu mtoto asaidiwe atendewe hak,1
Taarifa ya Habari ya ITV saa mbili usiku Februari 02 2020,neutral,taarifa ya habari ya itv saa mbili usiku februari,1
Siku Hizi Ni Deni Bro Kuna Jamaa Kaoa Last Month Ananidai Mchango wake hadi leo under Unajua Tulikopa Ndio Tufanikishe,neutral,siku hizi ni deni bro kuna jamaa kaoa last month ananidai mchango wake hadi leo under unajua tulikopa ndio tufanikishe,1
UZINDUZI UJENZI WA DARAJA LA KIGONGOBUSISI MKOANI MWANZA FUATILIA MATANGAZO HAYA HAPAgt,neutral,uzinduzi ujenzi wa daraja la kigongobusisi mkoani mwanza fuatilia matangazo haya hapagt,1
Tenda Wema nenda zako usingoje shukurani,positive,tenda wema nenda zako usingoje shukurani,2
Tuliandika andiko hili miaka kadhaa nyuma Ni wazi linauisho mpaka sasa Tunatamani ile nguvu iliyotumika kusema,neutral,tuliandika andiko hili miaka kadhaa nyuma ni wazi linauisho mpaka sasa tunatamani ile nguvu iliyotumika kusema,1
